FNZ-CPUE-UPDATE-DIAGNOSTICS|kahawai-collective/FNZ-CPUE-UPDATE-DIAGNOSTICS|main|report
JDO7-CPUE-UPDATES|kahawai-collective/JDO7-CPUE-updates|main|CPUE-ML
JDO7-CHAR-data|kahawai-collective/JDO7-CPUE-updates|main|characterisation
JDO7-CPUE-DATA|kahawai-collective/JDO7-CPUE-updates|main|CPUE-ML/data
OBS2025-01_trip_reports|kahawai-collective/OBS2025-01|main|trip_reports
DOCKER|kahawai-collective/docker.tridentsystems.co.nz|dev|images
PELCO-data-build|kahawai-collective/PELCO-app-data|main|data-build
STA3-CPUE-UPDATES|kahawai-collective/STA3-CPUE-updates|main|CPUE-ML
STA3-CPUE-DATA|kahawai-collective/STA3-CPUE-updates|main|CPUE-ML/data
EMA2025-01-FAR|kahawai-collective/EMA2025-01|main|FAR
EMA2025-01-CPUE-ML|kahawai-collective/EMA2025-01|main|CPUE-ML
HPB2023-01-CPUE-DATA|kahawai-collective/HPB2023-01|fy2025-update|CPUE-ML/data
HPB2023-01-observer|kahawai-collective/HPB2023-01|fy2025-update|observer
STA3-CHAR-data|kahawai-collective/STA3-CPUE-updates|main|characterisation
CA5.24-destinations|kahawai-collective/CA5.24-ER|master|destinations
EMA2025-01-char-data|kahawai-collective/EMA2025-01|main|characterisation
BCO4-CPUE-data|kahawai-collective/BCO4-reporting|master|CPUE-ML
KAHAWAI|kahawai-collective/kahawai|dev|kahawai
SEA2025-10-progress-report|kahawai-collective/SEA2025-10-AutoCPUE|main|reports/progress_report
STA7-CHAR-data|kahawai-collective/STA7-CPUE-updates|main|characterisation
STA7-CPUE-UPDATES|kahawai-collective/STA7-CPUE-updates|main|CPUE-ML
STA7-CPUE-DATA|kahawai-collective/STA7-CPUE-updates|main|CPUE-ML/data
LAYERS|kahawai-collective/layers|dev|layers
GUR2-CPUE-UPDATES|kahawai-collective/GUR2-CPUE-updates|main|CPUE-ML
